RespondentID,State,Region,AgeGroup,Gender,IncomeBracket,RaceEthnicity,PlanPurchase12Mo,RecentPurchasePrice,ChannelPreference,TradSlipOnBrand,HandsFreeAwareness,BrandAwarenessProxy_DistWt,DistNearestRetailerMiles,DistNearestFlagshipMiles,IsControlGroup,SawFeatureExplanation,Initial_Intent_79,Initial_Intent_99,Initial_Intent_119,Initial_Intent_139,Initial_Intent_159,Initial_Intent_179,Initial_Intent_199,Initial_Prob_79,Initial_Prob_99,Initial_Prob_119,Initial_Prob_139,Initial_Prob_159,Initial_Prob_179,Initial_Prob_199,Post_Intent_79,Post_Intent_99,Post_Intent_119,Post_Intent_139,Post_Intent_159,Post_Intent_179,Post_Intent_199,Post_Prob_79,Post_Prob_99,Post_Prob_119,Post_Prob_139,Post_Prob_159,Post_Prob_179,Post_Prob_199,ValuePerceptionPost,VW_TooCheap,VW_Bargain,VW_Expensive,VW_TooExpensive,Importance_Brand,Importance_Comfort,Importance_Durability,Importance_Fit,Importance_HandsFreeConvenience,Importance_Material,Importance_Price,Importance_Style,Top3Driver1,Top3Driver2,Top3Driver3,PrimaryUsage,MultiPurchaseLikelihood,Segment
11,MN,Midwest,35-44,Male,$75k-$99k,Hispanic or Latino,No,$50-$99,Online Primarily,Nike,Vaguely aware of it,0.1852,47.0,22.0,0,1,3,3,3,2,1,1,1,62,56,45,16,0,0,4,4,3,3,2,2,1,1,85,59,43,29,17,0,2,5.0,65,105,155,165,1,5,5,3,2,3,4,2,Comfort,Durability,Price,Everyday casual wear,4,Value Seekers
12,CA,West,35-44,Female,$50k-$74k,White,No,$150-$199,Depends on Type,Other,Never heard of it,0.0129,43.0,-1.0,0,1,3,2,2,2,1,1,1,51,31,31,11,7,0,0,4,3,3,2,2,1,1,69,65,38,14,6,10,0,4.0,85,95,105,120,1,4,5,2,3,3,5,2,Durability,Price,Comfort,Everyday casual wear,4,Value Seekers
13,MO,Midwest,25-34,Female,$50k-$74k,White,No,$200 or more,In-Store Primarily,Crocs,Vaguely aware of it,0.0157,44.7,-1.0,1,0,4,4,3,2,1,1,1,71,77,40,21,1,2,5,4,3,3,2,2,1,1,63,52,40,36,19,0,7,,80,90,125,135,2,5,5,3,3,3,5,3,Durability,Price,Comfort,Everyday casual wear,4,Value Seekers
14,PA,Northeast,35-44,Female,$50k-$74k,White,Yes,$150-$199,Online Primarily,None,Somewhat familiar,0.2196,84.7,46.7,0,1,3,3,3,2,1,1,1,63,49,45,7,4,0,0,4,3,3,3,2,1,1,67,50,48,50,27,12,0,5.0,80,105,135,150,1,4,4,2,3,4,4,2,Price,Durability,Comfort,Style/Fashion statement,5,Value Seekers
15,IN,Midwest,45-54,Male,$25k-$49k,White,Yes,$100-$149,Equal Mix,Other,Never heard of it,0.025,33.9,-1.0,1,0,3,2,2,2,1,1,1,33,32,32,2,2,3,0,3,3,2,1,1,1,1,54,41,28,3,4,0,0,,40,50,105,115,2,5,4,3,3,3,4,2,Comfort,Price,Durability,Specific activity needing convenience,4,Interested Pragmatists
16,KS,Midwest,35-44,Male,$100k-$149k,Hispanic or Latino,Yes,$200 or more,In-Store Primarily,None,Vaguely aware of it,0.089,86.8,52.2,0,1,3,2,2,1,1,1,1,40,33,19,0,0,0,2,4,2,2,2,1,1,1,79,20,21,12,0,0,0,5.0,45,95,105,180,2,5,4,3,2,4,5,3,Comfort,Price,Material,Everyday casual wear,5,Value Seekers
17,RI,Northeast,25-34,Male,$75k-$99k,Black or African American,Yes,$100-$149,Equal Mix,None,Never heard of it,0.0414,94.5,99.5,0,1,4,3,3,2,2,1,1,92,54,52,6,6,0,1,5,4,3,3,2,2,1,100,76,43,43,7,17,0,5.0,85,125,135,175,4,3,3,3,2,3,4,3,Brand,Price,Style,Work/Office (casual environment),4,Curious Skeptics
18,NV,West,45-54,Male,$150k+,Hispanic or Latino,Yes,$100-$149,Online Primarily,Skechers,Vaguely aware of it,0.0641,116.6,112.6,1,0,5,4,4,3,3,2,1,100,91,91,59,52,19,0,4,4,3,3,3,2,2,91,92,62,48,35,23,8,,130,140,150,175,3,4,4,3,4,3,3,4,HandsFreeConvenience,Style,Durability,Travel,4,Premium Enthusiasts
19,MN,Midwest,55-64,Female,$50k-$74k,Hispanic or Latino,Yes,$200 or more,Equal Mix,Other,Somewhat familiar,0.2205,79.6,31.1,0,1,3,3,2,1,1,1,1,62,57,20,0,8,1,5,4,4,3,3,2,2,1,78,77,49,40,23,13,3,5.0,70,100,155,165,2,5,5,3,1,2,5,2,Price,Durability,Comfort,Everyday casual wear,4,Traditionalists
20,VT,Northeast,18-24,Female,$100k-$149k,White,Yes,$100-$149,Online Primarily,Crocs,Vaguely aware of it,0.1357,45.9,104.1,1,0,5,4,3,3,2,1,1,98,75,67,35,28,0,7,4,3,3,2,2,1,1,96,52,61,38,27,4,1,,115,125,135,165,4,4,3,4,4,3,3,5,Style,Fit,Comfort,Work/Office (casual environment),4,Premium Enthusiasts
21,MT,West,45-54,Female,$25k-$49k,White,Yes,$50-$99,In-Store Primarily,Other,Never heard of it,0.0105,67.2,-1.0,1,0,4,4,3,3,1,1,1,91,68,56,46,2,4,0,4,3,3,2,2,1,1,53,43,47,12,0,7,0,,70,80,115,125,3,4,4,3,3,4,4,3,Durability,Comfort,Material,Everyday casual wear,4,Interested Pragmatists
22,VA,South,35-44,Female,$100k-$149k,Hispanic or Latino,Yes,$150-$199,Online Primarily,Nike,Never heard of it,0.01,116.6,-1.0,0,1,5,4,3,3,2,2,1,100,77,71,46,26,5,2,5,4,4,3,2,2,2,100,92,76,45,27,27,16,4.0,75,130,190,235,2,4,4,4,1,2,4,3,Durability,Fit,Price,Everyday casual wear,4,Traditionalists
23,VT,Northeast,25-34,Male,$50k-$74k,Asian,Yes,$200 or more,In-Store Primarily,Nike,Never heard of it,0.0982,33.8,140.9,0,1,4,3,3,2,1,1,1,74,55,29,22,0,5,1,4,4,2,3,2,1,1,75,71,32,50,11,10,2,4.0,95,105,130,155,3,4,4,2,5,3,3,4,HandsFreeConvenience,Style,Durability,Work/Office (casual environment),4,Premium Enthusiasts
24,IN,Midwest,45-54,Female,$150k+,Hispanic or Latino,Yes,$100-$149,In-Store Primarily,Skechers,Never heard of it,0.01,116.7,-1.0,1,0,5,4,4,4,3,2,2,100,87,64,77,51,34,28,5,5,4,4,3,2,2,100,100,77,69,43,30,17,,125,140,170,230,2,5,5,3,1,3,5,2,Comfort,Durability,Price,Everyday casual wear,1,Traditionalists
25,NM,West,45-54,Female,$50k-$74k,Black or African American,Yes,$150-$199,Online Primarily,Nike,Never heard of it,0.067,44.9,119.5,1,0,3,2,3,2,1,1,1,36,39,32,36,0,0,5,4,3,3,2,1,1,1,83,61,44,20,0,0,0,,70,110,135,145,3,3,3,2,3,3,3,4,Style,Brand,Durability,Everyday casual wear,2,Curious Skeptics
26,KS,Midwest,65+,Male,Less than $25k,White,Yes,$100-$149,Online Primarily,Crocs,Vaguely aware of it,0.0858,87.8,105.0,1,0,3,3,2,1,1,1,1,45,37,13,0,0,0,0,3,2,2,2,1,1,1,47,39,11,12,0,0,11,,45,55,95,170,4,3,4,3,3,3,3,4,Style,Brand,Durability,Travel,2,Curious Skeptics
27,WI,Midwest,25-34,Female,$100k-$149k,White,Yes,$100-$149,Online Primarily,None,Never heard of it,0.0413,65.4,101.9,1,0,4,4,3,2,2,1,1,69,63,59,31,18,4,2,4,3,3,3,1,2,1,71,56,45,42,2,9,4,,75,90,135,150,2,5,4,2,2,2,4,3,Comfort,Price,Durability,Travel,3,Value Seekers
28,CA,West,35-44,Male,$50k-$74k,White,Yes,$100-$149,In-Store Primarily,Other,Vaguely aware of it,0.05,85.6,-1.0,1,0,4,3,3,3,2,1,1,82,61,46,39,11,0,5,4,4,3,2,2,1,1,85,80,42,22,10,4,2,,80,90,120,160,2,4,5,3,1,3,5,3,Price,Durability,Comfort,Work/Office (casual environment),1,Traditionalists
29,WV,South,45-54,Female,$25k-$49k,White,Yes,Less than $50,Online Primarily,Skechers,Never heard of it,0.0787,87.2,149.7,1,0,4,3,3,2,1,1,1,83,25,37,11,2,0,0,3,3,3,2,2,1,1,57,56,33,31,0,0,8,,45,60,150,160,1,4,4,3,3,4,5,3,Price,Durability,Material,Everyday casual wear,3,Value Seekers
30,NV,West,25-34,Male,Less than $25k,White,Yes,$50-$99,In-Store Primarily,Nike,Vaguely aware of it,0.0879,71.7,101.8,0,1,4,3,3,2,2,1,1,83,62,42,28,4,10,4,5,4,3,3,2,2,1,98,78,65,58,34,19,2,3.0,100,110,130,150,4,3,3,3,2,3,3,5,Style,Brand,Comfort,Other,2,Curious Skeptics
31,MN,Midwest,25-34,Male,$150k+,White,Yes,$100-$149,Equal Mix,Skechers,Very familiar,0.2539,47.0,25.7,1,0,5,4,4,3,3,2,2,100,81,70,52,49,33,21,4,4,4,3,2,2,2,93,99,78,45,30,38,6,,105,150,160,200,2,5,4,3,4,3,3,3,Comfort,HandsFreeConvenience,Durability,Work/Office (casual environment),3,Interested Pragmatists
32,WV,South,55-64,Female,$25k-$49k,White,Yes,$200 or more,In-Store Primarily,Other,Vaguely aware of it,0.0836,32.3,122.2,1,0,3,3,3,2,2,2,1,51,49,48,20,32,17,2,4,3,3,3,2,1,1,67,59,43,37,19,0,0,,70,125,140,150,1,5,5,4,1,4,4,3,Durability,Comfort,Price,Specific activity needing convenience,2,Traditionalists
33,RI,Northeast,55-64,Female,$50k-$74k,White,Yes,$150-$199,Online Primarily,Skechers,Never heard of it,0.0311,58.0,52.6,1,0,3,2,2,1,1,1,1,41,11,9,0,8,0,2,3,2,1,1,1,1,1,43,31,0,0,4,7,0,,40,50,90,100,3,4,4,3,3,2,3,4,Style,Durability,Comfort,Travel,3,Interested Pragmatists
34,WA,West,45-54,Female,$75k-$99k,Asian,Yes,$100-$149,Equal Mix,Skechers,Never heard of it,0.01,96.6,-1.0,1,0,4,4,3,3,2,2,1,86,88,56,56,32,10,0,5,4,4,3,3,2,1,88,77,86,44,44,9,0,,120,130,160,185,2,4,4,3,4,3,4,3,Comfort,HandsFreeConvenience,Price,Everyday casual wear,4,Value Seekers
35,NY,Northeast,65+,Male,$25k-$49k,Black or African American,Yes,$150-$199,In-Store Primarily,None,Somewhat familiar,0.0522,100.6,129.3,1,0,4,3,3,2,2,1,1,79,66,45,28,8,2,0,4,4,3,3,3,1,1,89,60,48,44,39,1,1,,70,100,160,170,2,5,4,3,1,3,3,3,Comfort,Durability,Style,Specific activity needing convenience,1,Traditionalists
36,TN,South,55-64,Male,Less than $25k,White,Yes,$50-$99,In-Store Primarily,Nike,Never heard of it,0.0177,74.1,-1.0,0,1,3,3,2,2,1,1,1,36,41,31,3,0,1,5,3,3,2,2,1,1,1,53,39,21,14,0,0,2,4.0,65,90,105,115,1,5,4,3,3,2,4,3,Comfort,Durability,Price,Everyday casual wear,3,Value Seekers
37,WA,West,25-34,Male,$50k-$74k,Hispanic or Latino,Yes,$50-$99,In-Store Primarily,Crocs,Never heard of it,0.01,107.4,-1.0,0,1,4,4,3,3,2,2,1,89,76,59,50,36,26,0,4,4,4,3,3,2,2,85,84,88,56,47,32,14,4.0,115,125,185,195,3,4,4,4,4,4,3,4,HandsFreeConvenience,Fit,Durability,Everyday casual wear,4,Interested Pragmatists
38,VA,South,45-54,Male,$150k+,White,Yes,$100-$149,Equal Mix,Vans,Never heard of it,0.01,50.1,-1.0,0,1,4,3,2,2,1,1,1,84,53,42,13,0,0,0,3,3,3,2,1,1,1,62,49,33,33,0,3,0,3.0,65,75,145,155,2,5,3,3,3,3,3,3,Comfort,HandsFreeConvenience,Material,Style/Fashion statement,2,Interested Pragmatists
39,NM,West,18-24,Male,$50k-$74k,White,Yes,$50-$99,Equal Mix,Other,Never heard of it,0.1096,75.9,118.7,1,0,4,3,3,2,2,2,1,63,58,40,33,12,0,0,4,4,3,2,2,1,1,89,75,46,24,16,0,0,,80,90,165,175,2,5,4,3,2,4,5,3,Comfort,Price,Material,Everyday casual wear,4,Value Seekers
40,NH,Northeast,25-34,Female,$50k-$74k,White,Yes,$200 or more,Online Primarily,Crocs,Never heard of it,0.0871,28.8,108.2,0,1,4,4,3,3,3,2,1,90,88,58,48,49,29,0,5,4,4,4,3,2,2,93,90,78,65,51,30,14,4.0,95,130,215,225,1,4,4,2,3,3,5,3,Price,Durability,Comfort,Everyday casual wear,3,Value Seekers
41,VT,Northeast,45-54,Male,$25k-$49k,Hispanic or Latino,Yes,$100-$149,In-Store Primarily,Other,Vaguely aware of it,0.0842,27.5,104.2,0,1,3,3,3,2,1,2,1,56,49,39,13,2,9,0,4,4,4,3,3,2,1,85,73,78,50,40,14,0,5.0,100,110,160,180,2,5,3,4,3,3,4,3,Comfort,Fit,Price,Style/Fashion statement,3,Interested Pragmatists
42,GA,South,18-24,Male,$25k-$49k,Hispanic or Latino,Yes,$50-$99,Online Primarily,Skechers,Never heard of it,0.0629,110.8,-1.0,0,1,4,3,3,2,2,1,1,74,61,36,18,18,3,0,4,4,3,3,2,1,1,84,62,32,44,24,1,4,4.0,90,120,150,165,1,5,4,3,1,3,4,2,Comfort,Price,Durability,Work/Office (casual environment),3,Traditionalists
43,AK,West,18-24,Female,$100k-$149k,White,No,$200 or more,In-Store Primarily,None,Never heard of it,0.01,-1.0,-1.0,1,0,4,4,3,3,2,1,1,89,77,50,40,26,3,0,5,3,3,3,3,2,1,93,52,44,40,41,23,0,,75,130,140,185,3,4,3,4,3,3,4,3,Price,Comfort,Fit,Work/Office (casual environment),2,Curious Skeptics
44,NY,Northeast,65+,Male,$50k-$74k,White,Yes,$50-$99,Online Primarily,Vans,Vaguely aware of it,0.048,81.3,128.9,0,1,4,3,3,1,1,1,1,69,52,56,5,0,0,1,4,3,3,2,1,1,1,76,41,33,15,6,0,0,4.0,105,115,130,170,2,5,4,4,3,2,5,2,Price,Comfort,Durability,Other,3,Value Seekers
45,MT,West,65+,Female,Less than $25k,Black or African American,Yes,Less than $50,In-Store Primarily,Skechers,Never heard of it,0.01,54.8,-1.0,1,0,2,1,1,1,1,1,1,19,0,0,0,0,0,1,2,2,2,1,1,1,1,30,33,11,0,4,3,0,,40,50,70,80,3,4,3,3,3,3,3,4,Style,Comfort,Fit,Specific activity needing convenience,3,Interested Pragmatists
46,NY,Northeast,25-34,Female,$75k-$99k,White,Yes,$100-$149,In-Store Primarily,None,Never heard of it,0.0538,85.8,112.2,0,1,5,4,3,3,3,2,1,98,85,67,62,30,31,0,5,5,5,5,3,3,2,91,100,96,86,54,35,33,4.0,115,150,190,200,1,4,5,3,1,3,5,3,Price,Durability,Comfort,Work/Office (casual environment),3,Traditionalists
47,LA,South,35-44,Male,$50k-$74k,White,Yes,$50-$99,In-Store Primarily,Crocs,Never heard of it,0.01,69.0,-1.0,1,0,5,3,4,3,2,1,1,100,62,74,42,10,2,0,4,3,3,2,2,2,1,82,63,38,16,23,8,0,,85,95,170,180,3,4,3,4,5,2,3,4,HandsFreeConvenience,Fit,Comfort,Style/Fashion statement,4,Premium Enthusiasts
48,PA,Northeast,65+,Male,Less than $25k,White,Yes,$100-$149,In-Store Primarily,Vans,Somewhat familiar,0.2788,58.6,45.2,1,0,4,3,3,2,2,2,1,79,39,38,25,24,17,0,5,3,3,3,2,1,1,100,66,63,27,18,0,0,,105,125,145,200,1,4,5,2,2,4,5,2,Durability,Price,Comfort,Specific activity needing convenience,3,Value Seekers
49,VA,South,65+,Male,$150k+,Black or African American,Yes,$100-$149,Depends on Type,None,Never heard of it,0.01,148.5,-1.0,0,1,4,4,3,3,2,1,1,78,57,60,39,0,7,4,5,4,4,3,3,2,1,97,81,60,40,41,3,2,4.0,80,100,185,195,2,5,4,3,3,3,5,3,Comfort,Price,Durability,Travel,4,Value Seekers
50,TN,South,65+,Male,$100k-$149k,White,Yes,$100-$149,Online Primarily,Nike,Never heard of it,0.01,90.1,-1.0,0,1,3,3,2,2,1,1,1,48,54,29,34,0,0,0,4,3,3,2,2,2,1,72,61,60,26,19,17,2,5.0,100,110,130,145,2,4,3,4,4,3,4,3,Price,HandsFreeConvenience,Comfort,Everyday casual wear,4,Interested Pragmatists
51,UT,West,65+,Other/Prefer not to say,$75k-$99k,White,Yes,$150-$199,Equal Mix,Nike,Vaguely aware of it,0.1792,64.9,17.1,0,1,4,4,3,3,3,2,2,81,79,63,44,45,13,8,5,4,4,3,2,2,2,100,86,83,48,21,23,3,3.0,90,125,170,180,2,4,4,3,1,4,5,3,Price,Material,Comfort,Everyday casual wear,2,Traditionalists
52,ND,Midwest,35-44,Female,$25k-$49k,White,Yes,$100-$149,In-Store Primarily,Vans,Never heard of it,0.0606,79.0,123.9,0,1,3,3,2,1,1,1,1,60,49,20,1,3,8,0,3,3,2,2,1,1,1,41,45,37,23,0,0,0,5.0,50,60,85,120,1,5,5,3,3,3,4,2,Durability,Comfort,Price,Everyday casual wear,5,Value Seekers
53,MN,Midwest,65+,Male,$150k+,Hispanic or Latino,Yes,$100-$149,Depends on Type,Hey Dude,Very familiar,0.2184,72.8,10.0,1,0,3,2,2,2,2,1,1,50,18,38,4,0,3,5,3,3,2,1,1,1,1,39,44,22,8,1,2,3,,55,100,110,120,2,4,5,3,2,3,4,2,Durability,Comfort,Price,Everyday casual wear,3,Value Seekers
54,OR,West,65+,Female,$150k+,Asian,Yes,$200 or more,Equal Mix,Crocs,Never heard of it,0.01,71.0,-1.0,1,0,3,2,2,1,1,1,1,68,17,26,5,2,1,0,3,2,2,1,1,1,1,46,19,14,1,0,4,4,,70,80,95,110,3,2,3,4,3,3,4,3,Price,Fit,Material,Specific activity needing convenience,2,Curious Skeptics
55,SD,Midwest,45-54,Male,$50k-$74k,White,Yes,$50-$99,Online Primarily,Crocs,Vaguely aware of it,0.0781,51.7,56.7,1,0,4,3,2,1,2,1,1,69,43,20,2,1,0,0,4,3,2,2,1,1,1,70,56,32,18,6,3,0,,75,100,110,130,4,5,4,3,5,3,3,4,Comfort,HandsFreeConvenience,Durability,Other,5,Premium Enthusiasts
56,ME,Northeast,55-64,Male,Less than $25k,Other,Yes,$200 or more,Equal Mix,Crocs,Never heard of it,0.0226,71.4,-1.0,0,1,3,2,1,1,1,1,1,46,12,7,0,1,5,5,3,2,2,1,1,1,1,41,27,25,0,0,5,3,5.0,65,75,125,135,1,4,5,3,1,4,4,2,Durability,Comfort,Price,Travel,4,Traditionalists
57,UT,West,55-64,Male,$25k-$49k,Hispanic or Latino,Yes,$100-$149,In-Store Primarily,Skechers,Very familiar,0.307,72.8,16.2,0,1,4,3,3,3,1,1,1,82,65,41,36,3,3,3,5,4,4,2,3,2,1,100,100,76,32,38,15,0,5.0,105,125,170,220,1,4,5,2,3,3,5,2,Price,Durability,Comfort,Everyday casual wear,5,Value Seekers
58,AZ,West,65+,Male,$50k-$74k,White,Yes,$50-$99,Online Primarily,Skechers,Never heard of it,0.104,72.1,113.6,0,1,3,3,2,2,1,1,1,52,55,25,18,0,0,0,4,3,2,2,2,1,1,60,52,33,18,7,0,0,5.0,80,90,110,155,1,4,4,3,1,3,5,2,Price,Durability,Comfort,Specific activity needing convenience,3,Traditionalists
59,SC,South,35-44,Female,Less than $25k,White,Yes,$200 or more,Equal Mix,None,Never heard of it,0.01,80.0,-1.0,0,1,3,2,2,2,1,1,1,49,20,10,7,1,0,0,4,3,2,2,1,1,1,59,36,22,7,0,0,8,5.0,80,95,105,150,2,5,3,2,4,1,3,4,Comfort,Style,HandsFreeConvenience,Everyday casual wear,4,Interested Pragmatists
60,IN,Midwest,45-54,Female,Less than $25k,Black or African American,Yes,Less than $50,In-Store Primarily,None,Vaguely aware of it,0.0208,82.5,-1.0,0,1,2,2,1,1,1,1,1,22,30,0,4,7,1,0,3,3,2,1,1,1,1,40,34,24,0,5,0,0,3.0,60,75,85,95,1,4,5,3,3,3,4,3,Durability,Price,Comfort,Everyday casual wear,2,Value Seekers
61,GA,South,65+,Female,$100k-$149k,White,Yes,$100-$149,Online Primarily,Crocs,Never heard of it,0.01,67.3,-1.0,0,1,3,3,2,2,1,1,1,33,45,5,18,1,0,1,3,3,3,2,1,1,1,68,61,43,26,4,0,6,5.0,65,105,120,175,4,5,3,3,5,3,3,5,HandsFreeConvenience,Style,Comfort,Travel,4,Premium Enthusiasts
62,WY,West,35-44,Female,$50k-$74k,White,Yes,$150-$199,Equal Mix,Skechers,Vaguely aware of it,0.097,92.1,76.5,1,0,5,4,4,4,3,2,1,100,80,85,66,30,26,7,5,4,4,4,3,2,2,94,73,61,70,51,23,14,,115,125,150,185,2,4,4,3,4,2,3,3,Durability,HandsFreeConvenience,Comfort,Everyday casual wear,2,Interested Pragmatists
63,NH,Northeast,18-24,Male,$75k-$99k,White,Yes,$150-$199,In-Store Primarily,Nike,Never heard of it,0.0794,40.4,61.7,0,1,5,4,4,4,3,2,2,100,80,72,68,32,12,0,5,5,5,4,4,3,3,100,95,100,75,58,43,56,5.0,100,165,180,270,2,4,4,2,3,4,3,3,Durability,Material,Comfort,Specific activity needing convenience,3,Interested Pragmatists
64,TN,South,65+,Female,$100k-$149k,White,Yes,$100-$149,Equal Mix,Nike,Vaguely aware of it,0.01,74.2,-1.0,0,1,3,2,2,2,1,1,1,62,25,32,7,0,0,2,3,3,2,2,2,1,1,60,60,33,18,14,5,0,4.0,65,75,155,165,1,4,4,3,3,3,4,3,Comfort,Durability,Price,Everyday casual wear,2,Value Seekers
65,CO,West,18-24,Male,$75k-$99k,Black or African American,Yes,$150-$199,In-Store Primarily,Nike,Somewhat familiar,0.2077,69.2,47.0,1,0,5,5,4,4,3,2,1,93,98,77,70,40,21,0,4,4,3,2,2,1,2,91,81,42,31,29,10,8,,85,125,140,195,2,5,4,2,2,3,5,3,Price,Comfort,Durability,Everyday casual wear,2,Value Seekers
66,OR,West,45-54,Male,$50k-$74k,Black or African American,Yes,$100-$149,Online Primarily,None,Never heard of it,0.01,62.4,-1.0,1,0,4,3,3,2,2,2,1,80,62,60,28,11,0,0,4,3,3,3,2,2,1,76,53,48,33,16,0,0,,80,105,120,140,2,4,4,2,2,2,3,3,Durability,Comfort,Price,Travel,3,Interested Pragmatists
67,MD,South,65+,Male,$25k-$49k,White,Yes,Less than $50,In-Store Primarily,Other,Vaguely aware of it,0.0808,110.3,65.4,1,0,3,2,2,1,1,1,1,35,13,16,0,0,0,0,3,3,1,1,1,1,1,56,41,2,6,4,9,3,,85,95,105,115,3,5,3,4,4,3,4,3,Comfort,Price,HandsFreeConvenience,Specific activity needing convenience,3,Interested Pragmatists
68,WY,West,65+,Female,$100k-$149k,White,Yes,$50-$99,Online Primarily,Nike,Never heard of it,0.075,94.1,60.3,1,0,5,4,4,3,2,2,1,100,75,79,53,21,14,11,5,4,4,3,2,2,2,95,80,72,35,33,6,4,,95,135,160,250,2,4,3,2,4,3,4,4,HandsFreeConvenience,Comfort,Style,Everyday casual wear,4,Interested Pragmatists
